,sym,date,time,price,size,cond,cancelled,exchTime,exchDate,exch
60,0005.HK,2019-09-04,09:30:02.126,56.3,4400,,0,09:30:02.000,2019-09-04,HKG
61,0005.HK,2019-09-04,09:30:02.288,55.6,219,D,0,09:30:02.000,2019-09-04,HKG
62,0005.HK,2019-09-04,09:30:02.347,56.3,2800,,0,09:30:02.000,2019-09-04,HKG
63,0005.HK,2019-09-04,09:30:02.347,56.3,5200,Y,0,09:30:02.000,2019-09-04,HKG
64,0005.HK,2019-09-04,09:30:03.055,56.35,1200,,0,09:30:03.000,2019-09-04,HKG
65,0005.HK,2019-09-04,09:30:03.102,56.35,400,,0,09:30:03.000,2019-09-04,HKG
66,0005.HK,2019-09-04,09:30:04.008,56.25,1600,,0,09:30:04.000,2019-09-04,HKG
67,0005.HK,2019-09-04,09:30:04.008,56.25,4400,,0,09:30:04.000,2019-09-04,HKG
68,0005.HK,2019-09-04,09:30:04.018,56.25,400,,0,09:30:04.000,2019-09-04,HKG
69,0005.HK,2019-09-04,09:30:04.024,56.35,400,,0,09:30:04.000,2019-09-04,HKG
70,0005.HK,2019-09-04,09:30:04.036,56.35,2400,,0,09:30:04.000,2019-09-04,HKG
71,0005.HK,2019-09-04,09:30:04.077,56.25,2400,,0,09:30:04.000,2019-09-04,HKG
72,0005.HK,2019-09-04,09:30:05.016,56.3,400,,0,09:30:05.000,2019-09-04,HKG
73,0005.HK,2019-09-04,09:30:05.027,56.3,1600,,0,09:30:05.000,2019-09-04,HKG
74,0005.HK,2019-09-04,09:30:05.082,56.3,10800,,0,09:30:05.000,2019-09-04,HKG
75,0005.HK,2019-09-04,09:30:05.350,56.3,48000,,0,09:30:05.000,2019-09-04,HKG
76,0005.HK,2019-09-04,09:30:05.355,56.25,1200,,0,09:30:05.000,2019-09-04,HKG
77,0005.HK,2019-09-04,09:30:05.363,56.25,71600,,0,09:30:05.000,2019-09-04,HKG
78,0005.HK,2019-09-04,09:30:05.364,56.25,10000,,0,09:30:05.000,2019-09-04,HKG
79,0005.HK,2019-09-04,09:30:05.617,56.25,400,,0,09:30:05.000,2019-09-04,HKG
80,0005.HK,2019-09-04,09:30:05.943,56.35,4800,,0,09:30:05.000,2019-09-04,HKG
81,0005.HK,2019-09-04,09:30:06.015,56.35,400,,0,09:30:06.000,2019-09-04,HKG
82,0005.HK,2019-09-04,09:30:06.032,56.35,1600,,0,09:30:06.000,2019-09-04,HKG
83,0005.HK,2019-09-04,09:30:06.049,56.4,400,,0,09:30:06.000,2019-09-04,HKG
84,0005.HK,2019-09-04,09:30:06.049,56.4,400,,0,09:30:06.000,2019-09-04,HKG
85,0005.HK,2019-09-04,09:30:06.049,56.4,400,,0,09:30:06.000,2019-09-04,HKG
86,0005.HK,2019-09-04,09:30:06.049,56.4,400,,0,09:30:06.000,2019-09-04,HKG
87,0005.HK,2019-09-04,09:30:06.300,56.4,800,,0,09:30:06.000,2019-09-04,HKG
88,0005.HK,2019-09-04,09:30:06.300,56.4,5200,,0,09:30:06.000,2019-09-04,HKG
89,0005.HK,2019-09-04,09:30:06.300,56.4,400,,0,09:30:06.000,2019-09-04,HKG
90,0005.HK,2019-09-04,09:30:06.610,56.4,400,,0,09:30:06.000,2019-09-04,HKG
91,0005.HK,2019-09-04,09:30:07.008,56.35,400,,0,09:30:07.000,2019-09-04,HKG
92,0005.HK,2019-09-04,09:30:07.015,56.45,5200,,0,09:30:07.000,2019-09-04,HKG
93,0005.HK,2019-09-04,09:30:07.019,56.4,800,,0,09:30:07.000,2019-09-04,HKG
94,0005.HK,2019-09-04,09:30:07.028,56.4,800,,0,09:30:07.000,2019-09-04,HKG
95,0005.HK,2019-09-04,09:30:07.028,56.35,400,,0,09:30:07.000,2019-09-04,HKG
96,0005.HK,2019-09-04,09:30:07.028,56.35,9600,,0,09:30:07.000,2019-09-04,HKG
97,0005.HK,2019-09-04,09:30:07.028,56.35,2000,,0,09:30:07.000,2019-09-04,HKG
98,0005.HK,2019-09-04,09:30:07.032,56.4,400,,0,09:30:07.000,2019-09-04,HKG
99,0005.HK,2019-09-04,09:30:07.036,56.4,4000,,0,09:30:07.000,2019-09-04,HKG
100,0005.HK,2019-09-04,09:30:07.041,56.45,400,,0,09:30:07.000,2019-09-04,HKG
101,0005.HK,2019-09-04,09:30:08.003,56.3,2800,,0,09:30:08.000,2019-09-04,HKG
